Iteration,RMS_px,Parameters
60,8.69301553243158,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054764333 -47.7142346326  36.7966490704  48.286362308
 -42.3902622677]"
61,8.67757758121532,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054710638 -47.7142410443  36.796644578   48.2863602363
 -42.3902589051]"
62,8.656916415995946,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054619308 -47.7142519347  36.7966369426  48.2863566972
 -42.3902532127]"
63,8.64689313556757,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054556026 -47.7142595033  36.7966316703  48.2863542721
 -42.3902492423]"
64,8.635771009357,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054532747 -47.7142623069  36.7966297415  48.2863533908
 -42.3902477672]"
65,8.621537171979272,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054510892 -47.7142650022  36.796627961   48.2863526097
 -42.3902463197]"
66,8.607533288333306,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054463023 -47.7142708398  36.7966240334  48.2863508893
 -42.3902431778]"
67,8.59428068667034,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905437217  -47.7142819411  36.7966165804  48.2863476413
 -42.3902371865]"
68,8.577728829219922,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054323278 -47.7142878718  36.7966125535  48.2863458708
 -42.3902339996]"
69,8.56510323302817,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054274189 -47.7142938042  36.796608504   48.2863440809
 -42.3902308209]"
70,8.55231679289155,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.905421065  -47.7143014832  36.7966032707  48.2863417629
 -42.3902267127]"
71,8.531344652826654,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9054088262 -47.7143162636  36.7965932061  48.2863372862
 -42.3902188246]"
72,8.50404437873671,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053901008 -47.7143388652  36.7965778133  48.2863304248
 -42.3902067763]"
73,8.478398611609991,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053756164 -47.7143563419  36.796565944   48.2863251124
 -42.3901974818]"
74,8.45247008108647,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053660128 -47.7143678965  36.7965580969  48.2863215768
 -42.3901913591]"
75,8.436155892326122,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053645006 -47.7143696941  36.7965568859  48.2863210016
 -42.3901904357]"
76,8.403972882835427,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053550326 -47.7143810248  36.796549147   48.2863174387
 -42.3901845082]"
77,8.37690856386801,"[ 2.6236979687 -1.4832081238 -0.3019481449  2.6988672211 -1.5949990914, ... ,  31.9053338613 -47.714406397   36.7965318062  48.2863094887
 -42.3901711991]"
